id,estado,antiguedad,modalidad,value
34,Ciudad de México,1.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
35,Guerrero,30.0,a.	Presencial,Ejecución de los procedimientos para administrar los tiempos del estado en materia de radio y televisión
36,San Luis Potosí,2.0,b.	Distancia,Administración de base de datos
37,Yucatán,10.0,a.	Presencial,Atención de asuntos jurídicos
38,Chihuahua,8.0,b.	Distancia,Administración de centros de cómputo
39,Sinaloa,22.0,c.	Mixta,Selección de personal
40,Coahuila,14.0,c.	Mixta,Diseño de materiales de capacitación
41,Ciudad de México,5.0,c.	Mixta,Administración de base de datos
42,Guerrero,22.0,a.	Presencial,Diseño de materiales de capacitación
43,México,22.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
44,Aguascalientes,32.0,b.	Distancia,"Planeación de planes, programas y proyectos"
45,Veracruz,13.0,b.	Distancia,Selección de personal
46,Ciudad de México,5.0,b.	Distancia,Atención de asuntos jurídicos
47,México,30.0,b.	Distancia,Impartición de capacitación
48,Morelos,1.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
49,Guerrero,1.0,c.	Mixta,"Diseño, mejora y producción de documentación electoral"
50,México,7.0,a.	Presencial,Procesamiento informático
51,Ciudad de México,10.0,b.	Distancia,Atención de asuntos jurídicos
52,México,19.0,c.	Mixta,Selección de personal
53,México,11.0,c.	Mixta,Registro de actos de partidos y agrupaciones políticas
54,Ciudad de México,21.0,c.	Mixta,"Planeación de planes, programas y proyectos"
55,México,10.0,b.	Distancia,Selección de personal
56,Puebla,13.0,b.	Distancia,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
57,Chiapas,7.0,b.	Distancia,Fiscalización a los sujetos obligados
58,Sinaloa,4.0,a.	Presencial,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
59,Jalisco,4.5,c.	Mixta,Depuración del padrón electoral
60,Veracruz,27.0,b.	Distancia,"Diseño, mejora y producción de material electoral"
61,Durango,27.0,b.	Distancia,Atención de asuntos jurídicos
62,Jalisco,31.0,c.	Mixta,Construcción de la cartografía electoral
63,México,0.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
64,San Luis Potosí,5.0,a.	Presencial,Verificación de sesiones de los órganos desconcentrados
65,Jalisco,30.0,c.	Mixta,Diseño de materiales de capacitación
66,Sinaloa,1.5,c.	Mixta,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
67,México,4.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
68,Querétaro,1.0,b.	Distancia,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
69,Tlaxcala,4.0,b.	Distancia,Selección de personal
70,Jalisco,30.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
71,Nuevo León,27.0,b.	Distancia,"Evaluación de planes, programas y proyectos"
72,Guanajuato,13.0,a.	Presencial,Atención de asuntos jurídicos
73,Guanajuato,13.0,b.	Distancia,Selección de personal
74,Yucatán,6.0,b.	Distancia,Fiscalización a los sujetos obligados
75,México,13.0,b.	Distancia,"Planeación de planes, programas y proyectos"
76,Ciudad de México,22.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
77,Ciudad de México,7.0,a.	Presencial,Aplicación de metodología estadística y/o demográfica
78,Colima,4.5,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
79,Ciudad de México,0.0,b.	Distancia,Diseño de materiales de capacitación
80,Oaxaca,18.0,b.	Distancia,Atención de asuntos jurídicos
81,Coahuila,22.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
82,Oaxaca,1.0,b.	Distancia,Administración de base de datos
83,Ciudad de México,4.0,b.	Distancia,"Evaluación de planes, programas y proyectos"
84,Coahuila,20.0,b.	Distancia,Administración de tecnología de información y comunicaciones
85,San Luis Potosí,14.0,b.	Distancia,"Planeación de planes, programas y proyectos"
86,Colima,5.0,c.	Mixta,"Diseño, mejora y producción de material electoral"
87,Nuevo León,32.0,a.	Presencial,Aplicación de metodología estadística y/o demográfica
88,Guanajuato,30.0,c.	Mixta,Reincorporación al padrón electoral
89,Tamaulipas,19.0,b.	Distancia,Atención de asuntos jurídicos
90,Nuevo León,11.0,b.	Distancia,Selección de personal
91,México,20.0,b.	Distancia,Depuración del padrón electoral
92,Aguascalientes,25.0,b.	Distancia,Administración de tecnología de información y comunicaciones
93,México,5.0,b.	Distancia,Desarrollo de normativa
94,Jalisco,21.0,a.	Presencial,Construcción de la cartografía electoral
95,Ciudad de México,17.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
96,Ciudad de México,10.0,c.	Mixta,Impartición de capacitación
97,Veracruz,20.0,c.	Mixta,Desarrollo de sistemas
98,Jalisco,4.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
99,Nuevo León,1.0,b.	Distancia,Operación de módulos de atención ciudadana
100,Tabasco,4.0,c.	Mixta,Depuración del padrón electoral
101,Veracruz,1.6,a.	Presencial,Desarrollo de sistemas
102,Guerrero,3.0,b.	Distancia,Depuración del padrón electoral
103,Puebla,4.0,b.	Distancia,Impartición de capacitación
104,México,5.0,c.	Mixta,Administración de base de datos
105,Campeche,5.0,b.	Distancia,Atención de asuntos jurídicos
106,Nuevo León,31.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
107,México,5.0,c.	Mixta,Diseño de materiales de capacitación
108,Quintana Roo,25.0,b.	Distancia,Procesamiento informático
109,Michoacán,7.0,a.	Presencial,Administración de tecnología de información y comunicaciones
110,Chiapas,7.0,a.	Presencial,Impartición de capacitación
111,Ciudad de México,14.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
112,Nuevo León,25.0,a.	Presencial,Selección de personal
113,Veracruz,22.0,b.	Distancia,Depuración del padrón electoral
114,México,1.0,c.	Mixta,Selección de personal
115,Oaxaca,10.0,b.	Distancia,"Planeación de planes, programas y proyectos"
116,México,31.0,c.	Mixta,"Seguimiento de planes, programas y proyectos"
117,Ciudad de México,22.0,b.	Distancia,Diseño de materiales de capacitación
118,Jalisco,14.0,b.	Distancia,Administración de centros de cómputo
119,Guanajuato,22.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
120,México,13.0,c.	Mixta,Actualización del padrón electoral y credencialización de los ciudadanos
121,Aguascalientes,27.0,c.	Mixta,"Planeación de planes, programas y proyectos"
122,Chiapas,5.0,b.	Distancia,Selección de personal
123,Veracruz,22.0,c.	Mixta,Administración de tecnología de información y comunicaciones
124,Tabasco,5.0,c.	Mixta,"Diseño, mejora y producción de material electoral"
125,Yucatán,31.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
126,Yucatán,22.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
127,Sinaloa,31.0,c.	Mixta,Administración de tecnología de información y comunicaciones
128,Ciudad de México,4.0,a.	Presencial,Administración de base de datos
129,Nuevo León,31.0,c.	Mixta,Fiscalización a los sujetos obligados
130,Michoacán,2.0,b.	Distancia,Operación de módulos de atención ciudadana
131,San Luis Potosí,11.0,b.	Distancia,Depuración del padrón electoral
132,Coahuila,0.0,b.	Distancia,Almacenamiento de documentación y material electoral
133,Guerrero,29.0,c.	Mixta,Registro de actos de partidos y agrupaciones políticas
134,Sonora,28.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
135,Sinaloa,22.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
136,México,7.0,b.	Distancia,Atención de asuntos jurídicos
137,Chihuahua,1.0,b.	Distancia,Administración de tecnología de información y comunicaciones
138,Nuevo León,7.0,b.	Distancia,Atención de asuntos jurídicos
139,Zacatecas,20.0,b.	Distancia,Administración de base de datos
140,Tlaxcala,23.0,b.	Distancia,Selección de personal
141,Ciudad de México,4.0,b.	Distancia,Desarrollo de normativa
142,México,10.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
143,Guanajuato,25.0,b.	Distancia,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
144,Ciudad de México,1.0,c.	Mixta,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
145,Morelos,1.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
146,Ciudad de México,1.0,b.	Distancia,Impartición de capacitación
147,Guerrero,28.0,b.	Distancia,Fiscalización a los sujetos obligados
148,Ciudad de México,22.0,b.	Distancia,Verificación del padrón electoral
149,Chiapas,6.0,b.	Distancia,Impartición de capacitación
150,Jalisco,5.0,c.	Mixta,Diseño de programas de capacitación
151,Ciudad de México,3.0,b.	Distancia,Administración de base de datos
152,Veracruz,1.0,b.	Distancia,Almacenamiento de documentación y material electoral
153,Veracruz,1.6,c.	Mixta,Depuración del padrón electoral
154,Michoacán,13.0,c.	Mixta,Selección de personal
155,México,3.0,b.	Distancia,Depuración del padrón electoral
156,Michoacán,16.0,a.	Presencial,Impartición de capacitación
157,Jalisco,13.0,b.	Distancia,Atención de asuntos jurídicos
158,Nuevo León,25.0,b.	Distancia,Operación de módulos de atención ciudadana
159,San Luis Potosí,23.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
160,Ciudad de México,10.0,b.	Distancia,Atención de asuntos jurídicos
161,Chihuahua,7.0,b.	Distancia,"Planeación de planes, programas y proyectos"
162,Puebla,1.0,b.	Distancia,Depuración del padrón electoral
163,Tamaulipas,12.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
164,Jalisco,7.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
165,México,19.0,b.	Distancia,Atención de asuntos jurídicos
166,Sinaloa,6.0,b.	Distancia,Depuración del padrón electoral
167,Chiapas,30.0,b.	Distancia,Impartición de capacitación
168,Guanajuato,27.0,b.	Distancia,"Planeación de planes, programas y proyectos"
169,Tabasco,7.0,c.	Mixta,Atención de asuntos jurídicos
170,Chihuahua,11.0,b.	Distancia,Atención de asuntos jurídicos
171,Veracruz,25.8,b.	Distancia,Selección de personal
172,Baja California,5.0,c.	Mixta,Administración de base de datos
173,Ciudad de México,1.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
174,Oaxaca,4.0,b.	Distancia,Fiscalización a los sujetos obligados
175,Michoacán,5.0,c.	Mixta,Selección de personal
176,Querétaro,1.5,a.	Presencial,Operación de las comisiones de vigilancia del registro federal de electores
177,Sinaloa,10.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
178,Ciudad de México,9.0,b.	Distancia,"Evaluación de planes, programas y proyectos"
179,Yucatán,7.0,b.	Distancia,"Planeación de planes, programas y proyectos"
180,Hidalgo,17.0,b.	Distancia,Operación de módulos de atención ciudadana
181,Oaxaca,10.0,b.	Distancia,Fiscalización a los sujetos obligados
182,Hidalgo,24.0,b.	Distancia,Construcción de la cartografía electoral
183,Sonora,1.0,b.	Distancia,Depuración del padrón electoral
184,Colima,18.0,b.	Distancia,Diseño de materiales de capacitación
185,Jalisco,4.0,b.	Distancia,Impartición de capacitación
186,Guerrero,1.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
187,México,7.0,b.	Distancia,Diseño de materiales de capacitación
188,Michoacán,5.0,c.	Mixta,Selección de personal
189,Chiapas,3.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
190,Ciudad de México,4.0,b.	Distancia,Diseño de programas de capacitación
191,Veracruz,20.0,b.	Distancia,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
192,Guerrero,4.0,a.	Presencial,Impartición de capacitación
193,Sonora,1.0,c.	Mixta,"Diseño, mejora y producción de documentación electoral"
194,México,7.0,b.	Distancia,Atención de asuntos jurídicos
195,Tabasco,29.0,b.	Distancia,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
196,Nayarit,16.0,a.	Presencial,Aplicación de metodología estadística y/o demográfica
197,Guanajuato,27.0,b.	Distancia,Almacenamiento de documentación y material electoral
198,Chiapas,2.0,b.	Distancia,Selección de personal
199,Guerrero,1.0,b.	Distancia,"Planeación de planes, programas y proyectos"
200,Guerrero,5.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
201,Veracruz,20.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
202,Ciudad de México,20.0,c.	Mixta,"Seguimiento de planes, programas y proyectos"
203,México,20.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
204,México,10.0,b.	Distancia,Operación de módulos de atención ciudadana
205,Ciudad de México,21.0,b.	Distancia,"Evaluación de planes, programas y proyectos"
206,Michoacán,4.0,a.	Presencial,Construcción de la cartografía electoral
207,Tamaulipas,5.0,b.	Distancia,Construcción de la cartografía electoral
208,Jalisco,1.5,c.	Mixta,Desarrollo de sistemas
209,Tlaxcala,25.0,c.	Mixta,Selección de personal
210,Ciudad de México,20.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
211,Ciudad de México,10.0,b.	Distancia,Administración de base de datos
212,Quintana Roo,1.0,b.	Distancia,Operación de módulos de atención ciudadana
213,San Luis Potosí,4.0,a.	Presencial,Administración de base de datos
214,Nuevo León,8.0,c.	Mixta,Depuración del padrón electoral
215,Michoacán,7.0,c.	Mixta,Selección de personal
216,Puebla,21.0,c.	Mixta,Depuración del padrón electoral
217,Tabasco,25.0,a.	Presencial,Administración de base de datos
218,México,16.0,b.	Distancia,Impartición de capacitación
219,Puebla,31.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
220,Baja California,1.0,c.	Mixta,"Planeación de planes, programas y proyectos"
221,Durango,7.0,a.	Presencial,Actualización del padrón electoral y credencialización de los ciudadanos
222,Baja California Sur,6.0,a.	Presencial,Administración de base de datos
223,Chiapas,8.0,c.	Mixta,Operación de módulos de atención ciudadana
224,Veracruz,1.0,a.	Presencial,Selección de personal
225,Baja California,17.0,b.	Distancia,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
226,Durango,6.0,c.	Mixta,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
227,San Luis Potosí,30.0,c.	Mixta,Impartición de capacitación
228,México,8.0,b.	Distancia,Verificación de sesiones de los órganos desconcentrados
229,Michoacán,13.0,c.	Mixta,"Evaluación de planes, programas y proyectos"
230,Jalisco,10.0,c.	Mixta,Selección de personal
231,Baja California,7.0,a.	Presencial,Impartición de capacitación
232,Chihuahua,5.0,c.	Mixta,Administración de tecnología de información y comunicaciones
233,Jalisco,8.0,a.	Presencial,"Aplicación y gestión de recursos humanos, materiales y financieros"
234,Sonora,20.0,c.	Mixta,Selección de personal
235,México,29.0,b.	Distancia,Impartición de capacitación
236,Chihuahua,5.0,a.	Presencial,Diseño de programas de capacitación
237,Ciudad de México,5.0,b.	Distancia,Fiscalización a los sujetos obligados
238,Baja California,10.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
239,Baja California,14.0,a.	Presencial,Construcción de la cartografía electoral
240,Sonora,7.0,a.	Presencial,Impartición de capacitación
241,Guanajuato,20.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
242,Ciudad de México,20.0,b.	Distancia,Construcción de la cartografía electoral
243,Hidalgo,19.0,b.	Distancia,"Planeación de planes, programas y proyectos"
244,Baja California,1.0,b.	Distancia,Registro de actos de partidos y agrupaciones políticas
245,Jalisco,28.0,a.	Presencial,Selección de personal
246,Tabasco,29.0,c.	Mixta,Diseño de materiales de capacitación
247,Veracruz,27.0,c.	Mixta,Administración de tecnología de información y comunicaciones
248,Veracruz,25.0,c.	Mixta,Operación de módulos de atención ciudadana
249,México,25.0,a.	Presencial,Desarrollo de sistemas
250,México,10.0,b.	Distancia,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
251,Ciudad de México,1.0,b.	Distancia,Atención de asuntos jurídicos
252,Baja California,1.0,a.	Presencial,Diseño de materiales de capacitación
253,Hidalgo,11.0,c.	Mixta,Diseño de materiales de capacitación
254,México,30.0,b.	Distancia,Depuración del padrón electoral
255,México,25.0,c.	Mixta,Diseño de materiales de capacitación
256,Chihuahua,4.0,a.	Presencial,Selección de personal
257,Puebla,11.0,c.	Mixta,Selección de personal
258,Tabasco,15.0,b.	Distancia,Diseño de materiales de capacitación
259,Nuevo León,26.0,b.	Distancia,Registro de actos de partidos y agrupaciones políticas
260,Guanajuato,0.0,a.	Presencial,"Aplicación y gestión de recursos humanos, materiales y financieros"
261,Ciudad de México,7.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
262,Ciudad de México,15.0,b.	Distancia,"Planeación de planes, programas y proyectos"
263,Jalisco,10.0,c.	Mixta,Diseño de materiales de capacitación
264,Tabasco,13.0,b.	Distancia,Atención de asuntos jurídicos
265,Baja California,1.0,c.	Mixta,Depuración del padrón electoral
266,Campeche,22.0,c.	Mixta,Atención de asuntos jurídicos
267,Ciudad de México,21.0,b.	Distancia,Administración de base de datos
268,Jalisco,25.0,b.	Distancia,Desarrollo de sistemas
269,Ciudad de México,1.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
270,Guanajuato,30.0,b.	Distancia,"Diseño, mejora y producción de documentación electoral"
271,Sonora,2.0,c.	Mixta,Administración de base de datos
272,Chiapas,1.0,b.	Distancia,Operación de módulos de atención ciudadana
273,San Luis Potosí,26.0,c.	Mixta,Administración de base de datos
274,Ciudad de México,9.0,b.	Distancia,Selección de personal
275,Baja California Sur,12.0,b.	Distancia,"Planeación de planes, programas y proyectos"
276,Baja California,30.0,a.	Presencial,Atención de asuntos jurídicos
277,Jalisco,8.0,b.	Distancia,Atención de asuntos jurídicos
278,México,22.0,c.	Mixta,Diseño de materiales de capacitación
279,Ciudad de México,17.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
280,México,8.0,b.	Distancia,Almacenamiento de documentación y material electoral
281,Chihuahua,1.0,a.	Presencial,Actualización del padrón electoral y credencialización de los ciudadanos
282,Oaxaca,10.0,c.	Mixta,Administración de base de datos
283,Sinaloa,4.0,b.	Distancia,Administración de base de datos
284,Hidalgo,10.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
285,Michoacán,25.0,b.	Distancia,Construcción de la cartografía electoral
286,Coahuila,20.0,b.	Distancia,Administración de base de datos
287,Michoacán,1.0,b.	Distancia,Operación de módulos de atención ciudadana
288,Querétaro,28.0,b.	Distancia,Procesamiento informático
289,Quintana Roo,5.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
290,Michoacán,28.0,b.	Distancia,Diseño de materiales de capacitación
291,Colima,27.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
292,Ciudad de México,20.0,a.	Presencial,Administración de los tiempos del estado en radio y televisión
293,Nayarit,14.0,b.	Distancia,Depuración del padrón electoral
294,Ciudad de México,22.0,b.	Distancia,Depuración del padrón electoral
295,Jalisco,16.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
296,Chiapas,4.0,a.	Presencial,Administración de los tiempos del estado en radio y televisión
297,México,13.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
298,Tamaulipas,4.0,b.	Distancia,Construcción de la cartografía electoral
299,Veracruz,25.0,c.	Mixta,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
300,Quintana Roo,13.0,c.	Mixta,"Planeación de planes, programas y proyectos"
301,Guerrero,23.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
302,Guanajuato,30.0,b.	Distancia,Selección de personal
303,Guanajuato,30.0,c.	Mixta,Selección de personal
304,Coahuila,21.0,c.	Mixta,Reincorporación al padrón electoral
305,Tlaxcala,1.0,a.	Presencial,Actualización del padrón electoral y credencialización de los ciudadanos
306,Michoacán,27.0,a.	Presencial,Operación de las comisiones de vigilancia del registro federal de electores
307,Veracruz,4.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
308,Jalisco,25.0,b.	Distancia,Depuración del padrón electoral
309,México,4.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
310,Chihuahua,14.0,b.	Distancia,Administración de base de datos
311,Durango,7.0,b.	Distancia,Impartición de capacitación
312,Sinaloa,19.0,b.	Distancia,Selección de personal
313,Coahuila,16.0,b.	Distancia,Almacenamiento de documentación y material electoral
314,México,2.0,b.	Distancia,Administración de base de datos
315,México,4.0,a.	Presencial,Diseño de programas de capacitación
316,Querétaro,30.0,c.	Mixta,"Planeación de planes, programas y proyectos"
317,Guanajuato,20.0,c.	Mixta,Selección de personal
318,Guanajuato,32.0,b.	Distancia,Operación de módulos de atención ciudadana
319,México,20.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
320,Puebla,30.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
321,Veracruz,27.0,b.	Distancia,Administración de tecnología de información y comunicaciones
322,Sinaloa,22.0,b.	Distancia,Administración de los tiempos del estado en radio y televisión
323,Yucatán,22.0,b.	Distancia,Diseño de materiales de capacitación
324,Sonora,2.5,c.	Mixta,Selección de personal
325,Jalisco,4.0,b.	Distancia,Selección de personal
326,Veracruz,23.0,b.	Distancia,Selección de personal
327,México,28.0,b.	Distancia,Diseño de materiales de capacitación
328,Sinaloa,21.0,a.	Presencial,Construcción de la cartografía electoral
329,Aguascalientes,21.0,b.	Distancia,Atención de asuntos jurídicos
330,Chiapas,17.0,c.	Mixta,Actualización del padrón electoral y credencialización de los ciudadanos
331,Tabasco,30.0,c.	Mixta,Administración de tecnología de información y comunicaciones
332,Nayarit,10.0,c.	Mixta,Verificación de sesiones de los órganos desconcentrados
333,Ciudad de México,10.0,c.	Mixta,"Seguimiento de planes, programas y proyectos"
334,Ciudad de México,6.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
335,Durango,3.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
336,Sonora,10.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
337,Sinaloa,6.0,b.	Distancia,Diseño de materiales de capacitación
338,Ciudad de México,19.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
339,Michoacán,29.0,c.	Mixta,Impartición de capacitación
340,Puebla,20.0,c.	Mixta,Administración de tecnología de información y comunicaciones
341,Quintana Roo,2.0,b.	Distancia,Atención de asuntos jurídicos
342,Puebla,13.0,b.	Distancia,"Planeación de planes, programas y proyectos"
343,Morelos,28.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
344,México,25.0,b.	Distancia,Fiscalización a los sujetos obligados
345,Ciudad de México,10.0,a.	Presencial,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
346,Ciudad de México,11.0,b.	Distancia,Administración de base de datos
347,México,30.0,b.	Distancia,Administración de tecnología de información y comunicaciones
348,Baja California,4.0,b.	Distancia,Operación de módulos de atención ciudadana
349,Chiapas,17.0,c.	Mixta,Diseño de materiales de capacitación
350,Baja California,8.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
351,México,19.0,b.	Distancia,Reincorporación al padrón electoral
352,Tamaulipas,14.0,c.	Mixta,Administración de centros de cómputo
353,Baja California Sur,5.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
354,Veracruz,1.0,b.	Distancia,Almacenamiento de documentación y material electoral
355,Jalisco,1.5,a.	Presencial,Impartición de capacitación
356,Coahuila,11.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
357,Oaxaca,29.0,a.	Presencial,Impartición de capacitación
358,Ciudad de México,29.0,c.	Mixta,Impartición de capacitación
359,Michoacán,13.0,b.	Distancia,Procesamiento informático
360,México,1.0,b.	Distancia,Impartición de capacitación
361,Durango,5.0,a.	Presencial,"Aplicación y gestión de recursos humanos, materiales y financieros"
362,Michoacán,31.0,b.	Distancia,Depuración del padrón electoral
363,Baja California,24.0,a.	Presencial,Atención de asuntos jurídicos
364,Campeche,2.0,b.	Distancia,Depuración del padrón electoral
365,Chiapas,22.0,b.	Distancia,Atención de asuntos jurídicos
366,Ciudad de México,23.0,a.	Presencial,Aplicación de metodología estadística y/o demográfica
367,Sonora,20.0,c.	Mixta,"Seguimiento de planes, programas y proyectos"
368,México,29.0,a.	Presencial,"Seguimiento de planes, programas y proyectos"
369,Baja California,24.0,c.	Mixta,Selección de personal
370,México,11.0,b.	Distancia,Selección de personal
371,Sonora,22.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
372,Veracruz,8.0,b.	Distancia,Desarrollo de normativa
373,Veracruz,8.0,b.	Distancia,Administración de tecnología de información y comunicaciones
374,Jalisco,27.0,c.	Mixta,Procesamiento informático
375,Tamaulipas,10.0,a.	Presencial,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
376,México,21.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
377,Michoacán,13.0,c.	Mixta,Selección de personal
378,Nuevo León,5.0,b.	Distancia,Administración de los tiempos del estado en radio y televisión
