id_trabajador,estado,antiguedad,curso,curso_id
44,Aguascalientes,32.0,"Seguimiento de planes, programas y proyectos",16
1097,Tlaxcala,32.0,"Seguimiento de planes, programas y proyectos",16
1206,Chihuahua,32.0,"Seguimiento de planes, programas y proyectos",16
1655,Chihuahua,32.0,"Seguimiento de planes, programas y proyectos",16
1760,San Luis Potosí,32.0,"Seguimiento de planes, programas y proyectos",16
1128,Nuevo León,32.0,Diseño de programas de capacitación,17
2002,Tamaulipas,32.0,Diseño de programas de capacitación,17
2002,Tamaulipas,32.0,Diseño de materiales de capacitación,18
416,Baja California,32.0,Diseño de materiales de capacitación,18
1128,Nuevo León,32.0,Diseño de materiales de capacitación,18
2167,México,32.0,Diseño de materiales de capacitación,18
1957,Michoacán,32.0,Diseño de materiales de capacitación,18
749,Ciudad de México,32.0,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana",19
1760,San Luis Potosí,32.0,Administración de tecnología de información y comunicaciones,20
44,Aguascalientes,32.0,"Evaluación de planes, programas y proyectos",21
1097,Tlaxcala,32.0,"Evaluación de planes, programas y proyectos",21
1206,Chihuahua,32.0,"Evaluación de planes, programas y proyectos",21
1655,Chihuahua,32.0,"Evaluación de planes, programas y proyectos",21
1760,San Luis Potosí,32.0,"Evaluación de planes, programas y proyectos",21
1685,Yucatán,32.0,Desarrollo de normativa,22
1699,Nuevo León,32.0,Registro de actos de partidos y agrupaciones políticas,23
849,Aguascalientes,32.0,Reincorporación al padrón electoral,5
1931,Quintana Roo,32.0,Reincorporación al padrón electoral,5
2163,Ciudad de México,32.0,Reincorporación al padrón electoral,5
2167,México,32.0,Desarrollo de sistemas,24
25,San Luis Potosí,32.0,Desarrollo de sistemas,24
1969,Querétaro,32.0,Desarrollo de sistemas,24
1719,Ciudad de México,32.0,Desarrollo de sistemas,24
749,Ciudad de México,32.0,Verificación de sesiones de los órganos desconcentrados,25
1297,Guerrero,32.0,Verificación del padrón electoral,3
849,Aguascalientes,32.0,Verificación del padrón electoral,3
1499,Sinaloa,32.0,Verificación del padrón electoral,3
1699,Nuevo León,32.0,"Diseño, mejora y producción de material electoral",26
427,Nuevo León,32.0,"Diseño, mejora y producción de documentación electoral",27
1699,Nuevo León,32.0,Ejecución de los procedimientos para administrar los tiempos del estado en materia de radio y televisión,28
1138,Nayarit,32.0,Administración de centros de cómputo,29
385,Jalisco,31.0,Atención de asuntos jurídicos,6
563,México,31.0,Atención de asuntos jurídicos,6
125,Yucatán,31.0,Atención de asuntos jurídicos,6
454,Michoacán,31.0,Atención de asuntos jurídicos,6
1039,Nuevo León,31.0,Atención de asuntos jurídicos,6
1794,Morelos,31.0,Atención de asuntos jurídicos,6
754,Ciudad de México,31.0,Atención de asuntos jurídicos,6
764,Nuevo León,31.0,Atención de asuntos jurídicos,6
1844,Guanajuato,31.0,Atención de asuntos jurídicos,6
125,Yucatán,31.0,"Aplicación y gestión de recursos humanos, materiales y financieros",8
219,Puebla,31.0,"Aplicación y gestión de recursos humanos, materiales y financieros",8
737,Jalisco,31.0,"Aplicación y gestión de recursos humanos, materiales y financieros",8
764,Nuevo León,31.0,"Aplicación y gestión de recursos humanos, materiales y financieros",8
801,Guanajuato,31.0,"Aplicación y gestión de recursos humanos, materiales y financieros",8
384,México,31.0,"Aplicación y gestión de recursos humanos, materiales y financieros",8
1794,Morelos,31.0,"Aplicación y gestión de recursos humanos, materiales y financieros",8
385,Jalisco,31.0,Selección de personal,9
754,Ciudad de México,31.0,Selección de personal,9
801,Guanajuato,31.0,Selección de personal,9
1030,México,31.0,Selección de personal,9
1200,Aguascalientes,31.0,Selección de personal,9
591,Guerrero,31.0,Selección de personal,9
1067,México,31.0,Selección de personal,9
1190,Guanajuato,31.0,Selección de personal,9
1342,Yucatán,31.0,Selección de personal,9
106,Nuevo León,31.0,Operación de las comisiones de vigilancia del registro federal de electores,1
478,Tamaulipas,31.0,Operación de las comisiones de vigilancia del registro federal de electores,1
591,Guerrero,31.0,Operación de las comisiones de vigilancia del registro federal de electores,1
655,México,31.0,Operación de las comisiones de vigilancia del registro federal de electores,1
755,México,31.0,Operación de las comisiones de vigilancia del registro federal de electores,1
761,México,31.0,Operación de las comisiones de vigilancia del registro federal de electores,1
817,Guerrero,31.0,Operación de las comisiones de vigilancia del registro federal de electores,1
828,Tabasco,31.0,Operación de las comisiones de vigilancia del registro federal de electores,1
847,México,31.0,Operación de las comisiones de vigilancia del registro federal de electores,1
856,Guanajuato,31.0,Operación de las comisiones de vigilancia del registro federal de electores,1
885,Jalisco,31.0,Operación de las comisiones de vigilancia del registro federal de electores,30
1318,México,31.0,Operación de las comisiones de vigilancia del registro federal de electores,30
1362,Coahuila,31.0,Operación de las comisiones de vigilancia del registro federal de electores,30
1603,Chihuahua,31.0,Operación de las comisiones de vigilancia del registro federal de electores,30
1714,Guanajuato,31.0,Operación de las comisiones de vigilancia del registro federal de electores,30
1920,Colima,31.0,Operación de las comisiones de vigilancia del registro federal de electores,30
1976,Veracruz,31.0,Operación de las comisiones de vigilancia del registro federal de electores,30
1663,Zacatecas,31.0,Operación de las comisiones de vigilancia del registro federal de electores,30
385,Jalisco,31.0,Operación de las comisiones de vigilancia del registro federal de electores,30
443,Michoacán,31.0,Operación de las comisiones de vigilancia del registro federal de electores,30
1044,Ciudad de México,31.0,Operación de las comisiones de vigilancia del registro federal de electores,30
2030,Coahuila,31.0,Operación de las comisiones de vigilancia del registro federal de electores,30
551,Chiapas,31.0,Administración de base de datos,10
603,Michoacán,31.0,Administración de base de datos,10
607,Baja California,31.0,Administración de base de datos,10
1200,Aguascalientes,31.0,Administración de base de datos,10
1984,San Luis Potosí,31.0,Administración de base de datos,10
2077,Ciudad de México,31.0,Administración de base de datos,10
2019,Chihuahua,31.0,Administración de base de datos,10
1671,Guanajuato,31.0,Administración de base de datos,10
618,Zacatecas,31.0,Actualización del padrón electoral y credencialización de los ciudadanos,2
829,México,31.0,Actualización del padrón electoral y credencialización de los ciudadanos,2
1227,Ciudad de México,31.0,Actualización del padrón electoral y credencialización de los ciudadanos,2
1342,Yucatán,31.0,Actualización del padrón electoral y credencialización de los ciudadanos,2
2030,Coahuila,31.0,Actualización del padrón electoral y credencialización de los ciudadanos,2
443,Michoacán,31.0,Actualización del padrón electoral y credencialización de los ciudadanos,2
655,México,31.0,Actualización del padrón electoral y credencialización de los ciudadanos,2
755,México,31.0,Actualización del padrón electoral y credencialización de los ciudadanos,2
761,México,31.0,Actualización del padrón electoral y credencialización de los ciudadanos,2
817,Guerrero,31.0,Actualización del padrón electoral y credencialización de los ciudadanos,2
828,Tabasco,31.0,Actualización del padrón electoral y credencialización de los ciudadanos,2
847,México,31.0,Actualización del padrón electoral y credencialización de los ciudadanos,2
1318,México,31.0,Actualización del padrón electoral y credencialización de los ciudadanos,31
1920,Colima,31.0,Actualización del padrón electoral y credencialización de los ciudadanos,31
2093,Nuevo León,31.0,Actualización del padrón electoral y credencialización de los ciudadanos,31
1230,Jalisco,31.0,Actualización del padrón electoral y credencialización de los ciudadanos,31
1362,Coahuila,31.0,Actualización del padrón electoral y credencialización de los ciudadanos,31
1044,Ciudad de México,31.0,Construcción de la cartografía electoral,11
1212,Jalisco,31.0,Construcción de la cartografía electoral,11
1358,México,31.0,Construcción de la cartografía electoral,11
1540,Veracruz,31.0,Construcción de la cartografía electoral,11
1671,Guanajuato,31.0,Construcción de la cartografía electoral,11
1924,Jalisco,31.0,Construcción de la cartografía electoral,11
618,Zacatecas,31.0,Construcción de la cartografía electoral,11
1603,Chihuahua,31.0,Construcción de la cartografía electoral,11
1318,México,31.0,Construcción de la cartografía electoral,11
1984,San Luis Potosí,31.0,Construcción de la cartografía electoral,11
1995,Nuevo León,31.0,Construcción de la cartografía electoral,11
219,Puebla,31.0,Fiscalización a los sujetos obligados,12
1634,Guanajuato,31.0,Fiscalización a los sujetos obligados,12
362,Michoacán,31.0,Depuración del padrón electoral,4
516,Guanajuato,31.0,Depuración del padrón electoral,4
1045,Ciudad de México,31.0,Depuración del padrón electoral,4
2175,Ciudad de México,31.0,Depuración del padrón electoral,4
106,Nuevo León,31.0,Depuración del padrón electoral,4
829,México,31.0,Depuración del padrón electoral,4
885,Jalisco,31.0,Depuración del padrón electoral,4
1227,Ciudad de México,31.0,Depuración del padrón electoral,4
1358,México,31.0,Depuración del padrón electoral,4
1362,Coahuila,31.0,Depuración del padrón electoral,4
1714,Guanajuato,31.0,Depuración del padrón electoral,4
655,México,31.0,Depuración del padrón electoral,32
847,México,31.0,Depuración del padrón electoral,32
454,Michoacán,31.0,Impartición de capacitación,13
1030,México,31.0,Impartición de capacitación,13
2077,Ciudad de México,31.0,Impartición de capacitación,13
1371,Jalisco,31.0,Impartición de capacitación,13
2009,Chihuahua,31.0,Impartición de capacitación,13
1120,Guanajuato,31.0,"Planeación de planes, programas y proyectos",14
1224,Sonora,31.0,"Planeación de planes, programas y proyectos",14
1855,Michoacán,31.0,"Planeación de planes, programas y proyectos",14
1912,Veracruz,31.0,"Planeación de planes, programas y proyectos",14
2089,Ciudad de México,31.0,"Planeación de planes, programas y proyectos",14
454,Michoacán,31.0,"Planeación de planes, programas y proyectos",14
551,Chiapas,31.0,"Planeación de planes, programas y proyectos",14
1030,México,31.0,"Planeación de planes, programas y proyectos",14
1634,Guanajuato,31.0,"Planeación de planes, programas y proyectos",14
443,Michoacán,31.0,Operación de módulos de atención ciudadana,7
1995,Nuevo León,31.0,Operación de módulos de atención ciudadana,7
2019,Chihuahua,31.0,Operación de módulos de atención ciudadana,7
402,Zacatecas,31.0,Operación de módulos de atención ciudadana,7
591,Guerrero,31.0,Operación de módulos de atención ciudadana,7
1044,Ciudad de México,31.0,Operación de módulos de atención ciudadana,7
1342,Yucatán,31.0,Operación de módulos de atención ciudadana,7
1855,Michoacán,31.0,Operación de módulos de atención ciudadana,7
1976,Veracruz,31.0,Operación de módulos de atención ciudadana,7
2030,Coahuila,31.0,Operación de módulos de atención ciudadana,7
362,Michoacán,31.0,Operación de módulos de atención ciudadana,7
755,México,31.0,Operación de módulos de atención ciudadana,7
829,México,31.0,Operación de módulos de atención ciudadana,7
1227,Ciudad de México,31.0,Operación de módulos de atención ciudadana,7
1920,Colima,31.0,Operación de módulos de atención ciudadana,33
1394,Guanajuato,31.0,Aplicación de metodología estadística y/o demográfica,15
1912,Veracruz,31.0,Aplicación de metodología estadística y/o demográfica,15
2093,Nuevo León,31.0,Aplicación de metodología estadística y/o demográfica,15
1844,Guanajuato,31.0,Aplicación de metodología estadística y/o demográfica,15
402,Zacatecas,31.0,Aplicación de metodología estadística y/o demográfica,15
618,Zacatecas,31.0,Aplicación de metodología estadística y/o demográfica,15
1603,Chihuahua,31.0,Aplicación de metodología estadística y/o demográfica,15
1924,Jalisco,31.0,Aplicación de metodología estadística y/o demográfica,15
2089,Ciudad de México,31.0,"Seguimiento de planes, programas y proyectos",16
1230,Jalisco,31.0,"Seguimiento de planes, programas y proyectos",16
125,Yucatán,31.0,"Seguimiento de planes, programas y proyectos",16
874,Puebla,31.0,"Seguimiento de planes, programas y proyectos",16
1224,Sonora,31.0,"Seguimiento de planes, programas y proyectos",16
1190,Guanajuato,31.0,Diseño de programas de capacitación,17
1937,Jalisco,31.0,Diseño de programas de capacitación,17
1190,Guanajuato,31.0,Diseño de materiales de capacitación,18
1844,Guanajuato,31.0,Diseño de materiales de capacitación,18
421,Guerrero,31.0,Diseño de materiales de capacitación,18
1067,México,31.0,Diseño de materiales de capacitación,18
1371,Jalisco,31.0,Diseño de materiales de capacitación,18
590,Chihuahua,31.0,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana",19
665,Chiapas,31.0,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana",19
1026,México,31.0,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana",19
384,México,31.0,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana",19
1432,México,31.0,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana",19
421,Guerrero,31.0,Administración de tecnología de información y comunicaciones,20
1067,México,31.0,Administración de tecnología de información y comunicaciones,20
1371,Jalisco,31.0,Administración de tecnología de información y comunicaciones,20
603,Michoacán,31.0,Administración de tecnología de información y comunicaciones,20
856,Guanajuato,31.0,Administración de tecnología de información y comunicaciones,20
1120,Guanajuato,31.0,Administración de tecnología de información y comunicaciones,20
2009,Chihuahua,31.0,Administración de tecnología de información y comunicaciones,20
801,Guanajuato,31.0,Administración de tecnología de información y comunicaciones,20
1540,Veracruz,31.0,Administración de tecnología de información y comunicaciones,20
2019,Chihuahua,31.0,Administración de tecnología de información y comunicaciones,20
1230,Jalisco,31.0,"Evaluación de planes, programas y proyectos",21
874,Puebla,31.0,"Evaluación de planes, programas y proyectos",21
1224,Sonora,31.0,"Evaluación de planes, programas y proyectos",21
603,Michoacán,31.0,"Evaluación de planes, programas y proyectos",21
1912,Veracruz,31.0,"Evaluación de planes, programas y proyectos",21
2089,Ciudad de México,31.0,"Evaluación de planes, programas y proyectos",21
1794,Morelos,31.0,Desarrollo de normativa,22
764,Nuevo León,31.0,Desarrollo de normativa,22
1039,Nuevo León,31.0,Desarrollo de normativa,22
551,Chiapas,31.0,Procesamiento informático,34
1984,San Luis Potosí,31.0,Procesamiento informático,34
921,Veracruz,31.0,Procesamiento informático,34
2077,Ciudad de México,31.0,Procesamiento informático,34
1394,Guanajuato,31.0,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes",35
754,Ciudad de México,31.0,Registro de actos de partidos y agrupaciones políticas,23
921,Veracruz,31.0,Registro de actos de partidos y agrupaciones políticas,23
219,Puebla,31.0,Registro de actos de partidos y agrupaciones políticas,23
1976,Veracruz,31.0,Registro de actos de partidos y agrupaciones políticas,23
362,Michoacán,31.0,Reincorporación al padrón electoral,5
478,Tamaulipas,31.0,Reincorporación al padrón electoral,5
1045,Ciudad de México,31.0,Reincorporación al padrón electoral,5
1924,Jalisco,31.0,Reincorporación al padrón electoral,5
2175,Ciudad de México,31.0,Reincorporación al padrón electoral,5
106,Nuevo León,31.0,Reincorporación al padrón electoral,5
761,México,31.0,Reincorporación al padrón electoral,5
817,Guerrero,31.0,Reincorporación al padrón electoral,5
828,Tabasco,31.0,Reincorporación al padrón electoral,5
856,Guanajuato,31.0,Reincorporación al padrón electoral,5
885,Jalisco,31.0,Reincorporación al padrón electoral,5
874,Puebla,31.0,Distribución de documentación y material electoral,36
665,Chiapas,31.0,Distribución de documentación y material electoral,36
1026,México,31.0,Distribución de documentación y material electoral,36
1048,Hidalgo,31.0,Distribución de documentación y material electoral,36
1432,México,31.0,Distribución de documentación y material electoral,36
1048,Hidalgo,31.0,Almacenamiento de documentación y material electoral,37
1432,México,31.0,Almacenamiento de documentación y material electoral,37
1937,Jalisco,31.0,Desarrollo de sistemas,24
2009,Chihuahua,31.0,Desarrollo de sistemas,24
1540,Veracruz,31.0,Desarrollo de sistemas,24
1212,Jalisco,31.0,Desarrollo de sistemas,24
384,México,31.0,Verificación de sesiones de los órganos desconcentrados,25
1010,Puebla,31.0,Verificación de sesiones de los órganos desconcentrados,25
1039,Nuevo León,31.0,Verificación de sesiones de los órganos desconcentrados,25
590,Chihuahua,31.0,Verificación de sesiones de los órganos desconcentrados,25
402,Zacatecas,31.0,Verificación del padrón electoral,3
516,Guanajuato,31.0,Verificación del padrón electoral,3
1212,Jalisco,31.0,Verificación del padrón electoral,3
1995,Nuevo León,31.0,Verificación del padrón electoral,3
1045,Ciudad de México,31.0,Verificación del padrón electoral,3
2175,Ciudad de México,31.0,Verificación del padrón electoral,3
1634,Guanajuato,31.0,"Diseño, mejora y producción de material electoral",26
590,Chihuahua,31.0,"Diseño, mejora y producción de material electoral",26
665,Chiapas,31.0,"Diseño, mejora y producción de material electoral",26
1048,Hidalgo,31.0,"Diseño, mejora y producción de material electoral",26
1120,Guanajuato,31.0,"Diseño, mejora y producción de material electoral",26
1855,Michoacán,31.0,"Diseño, mejora y producción de material electoral",26
1663,Zacatecas,31.0,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana,38
421,Guerrero,31.0,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana,38
2075,Veracruz,31.0,Administración de los tiempos del estado en radio y televisión,39
921,Veracruz,31.0,Administración de los tiempos del estado en radio y televisión,39
1394,Guanajuato,31.0,Administración de los tiempos del estado en radio y televisión,39
1671,Guanajuato,31.0,Administración de centros de cómputo,29
596,México,30.0,Atención de asuntos jurídicos,6
747,México,30.0,Atención de asuntos jurídicos,6
850,México,30.0,Atención de asuntos jurídicos,6
990,Querétaro,30.0,Atención de asuntos jurídicos,6
1612,Chiapas,30.0,Atención de asuntos jurídicos,6
1722,Tabasco,30.0,Atención de asuntos jurídicos,6
1732,Nuevo León,30.0,Atención de asuntos jurídicos,6
17,Ciudad de México,30.0,Atención de asuntos jurídicos,6
843,Ciudad de México,30.0,Atención de asuntos jurídicos,6
946,Chiapas,30.0,Atención de asuntos jurídicos,40
2097,Sinaloa,30.0,Atención de asuntos jurídicos,40
850,México,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",8
1612,Chiapas,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",8
17,Ciudad de México,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",8
791,Campeche,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",8
1021,Colima,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",8
1611,Jalisco,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",8
47,México,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",8
596,México,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",8
1722,Tabasco,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",8
1732,Nuevo León,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",41
1843,Ciudad de México,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",41
302,Guanajuato,30.0,Selección de personal,9
596,México,30.0,Selección de personal,9
791,Campeche,30.0,Selección de personal,9
1598,Jalisco,30.0,Selección de personal,9
1732,Nuevo León,30.0,Selección de personal,9
2099,Zacatecas,30.0,Selección de personal,9
6,Chihuahua,30.0,Selección de personal,9
347,México,30.0,Selección de personal,9
459,Colima,30.0,Selección de personal,9
946,Chiapas,30.0,Selección de personal,9
1970,Chihuahua,30.0,Selección de personal,42
698,Guanajuato,30.0,Selección de personal,42
1021,Colima,30.0,Selección de personal,42
1564,Puebla,30.0,Selección de personal,42
1735,San Luis Potosí,30.0,Selección de personal,42
2118,Sinaloa,30.0,Selección de personal,42
70,Jalisco,30.0,Operación de las comisiones de vigilancia del registro federal de electores,30
1176,México,30.0,Operación de las comisiones de vigilancia del registro federal de electores,30
1202,Hidalgo,30.0,Operación de las comisiones de vigilancia del registro federal de electores,30
1623,Tamaulipas,30.0,Operación de las comisiones de vigilancia del registro federal de electores,30
1640,Yucatán,30.0,Operación de las comisiones de vigilancia del registro federal de electores,30
1722,Tabasco,30.0,Operación de las comisiones de vigilancia del registro federal de electores,30
254,México,30.0,Operación de las comisiones de vigilancia del registro federal de electores,30
6,Chihuahua,30.0,Operación de las comisiones de vigilancia del registro federal de electores,30
1084,Zacatecas,30.0,Administración de base de datos,10
1842,Ciudad de México,30.0,Administración de base de datos,10
477,Durango,30.0,Administración de base de datos,10
1292,Nayarit,30.0,Administración de base de datos,10
1580,Guanajuato,30.0,Administración de base de datos,10
1521,Baja California,30.0,Administración de base de datos,10
907,Ciudad de México,30.0,Actualización del padrón electoral y credencialización de los ciudadanos,31
1223,México,30.0,Actualización del padrón electoral y credencialización de los ciudadanos,31
2097,Sinaloa,30.0,Actualización del padrón electoral y credencialización de los ciudadanos,31
2118,Sinaloa,30.0,Actualización del padrón electoral y credencialización de los ciudadanos,31
1202,Hidalgo,30.0,Actualización del padrón electoral y credencialización de los ciudadanos,31
1640,Yucatán,30.0,Actualización del padrón electoral y credencialización de los ciudadanos,31
70,Jalisco,30.0,Actualización del padrón electoral y credencialización de los ciudadanos,31
477,Durango,30.0,Construcción de la cartografía electoral,11
811,México,30.0,Construcción de la cartografía electoral,11
812,México,30.0,Construcción de la cartografía electoral,11
838,Hidalgo,30.0,Construcción de la cartografía electoral,11
946,Chiapas,30.0,Construcción de la cartografía electoral,43
1021,Colima,30.0,Construcción de la cartografía electoral,43
254,México,30.0,Construcción de la cartografía electoral,43
440,Nuevo León,30.0,Construcción de la cartografía electoral,43
843,Ciudad de México,30.0,Fiscalización a los sujetos obligados,12
1084,Zacatecas,30.0,Fiscalización a los sujetos obligados,12
791,Campeche,30.0,Fiscalización a los sujetos obligados,12
254,México,30.0,Depuración del padrón electoral,32
2078,Ciudad de México,30.0,Depuración del padrón electoral,32
440,Nuevo León,30.0,Depuración del padrón electoral,32
747,México,30.0,Depuración del padrón electoral,32
1623,Tamaulipas,30.0,Depuración del padrón electoral,32
47,México,30.0,Impartición de capacitación,13
167,Chiapas,30.0,Impartición de capacitación,13
698,Guanajuato,30.0,Impartición de capacitación,13
1564,Puebla,30.0,Impartición de capacitación,13
1970,Chihuahua,30.0,Impartición de capacitación,13
1049,Jalisco,30.0,"Planeación de planes, programas y proyectos",14
2094,Ciudad de México,30.0,"Planeación de planes, programas y proyectos",14
2179,Veracruz,30.0,"Planeación de planes, programas y proyectos",14
1084,Zacatecas,30.0,"Planeación de planes, programas y proyectos",14
812,México,30.0,Operación de módulos de atención ciudadana,33
907,Ciudad de México,30.0,Operación de módulos de atención ciudadana,33
1223,México,30.0,Operación de módulos de atención ciudadana,33
1623,Tamaulipas,30.0,Operación de módulos de atención ciudadana,33
2118,Sinaloa,30.0,Operación de módulos de atención ciudadana,33
1640,Yucatán,30.0,Operación de módulos de atención ciudadana,33
728,México,30.0,Aplicación de metodología estadística y/o demográfica,15
1580,Guanajuato,30.0,Aplicación de metodología estadística y/o demográfica,15
2152,Ciudad de México,30.0,Aplicación de metodología estadística y/o demográfica,15
1292,Nayarit,30.0,Aplicación de metodología estadística y/o demográfica,15
1049,Jalisco,30.0,"Seguimiento de planes, programas y proyectos",16
2094,Ciudad de México,30.0,"Seguimiento de planes, programas y proyectos",16
1598,Jalisco,30.0,"Seguimiento de planes, programas y proyectos",16
167,Chiapas,30.0,Diseño de programas de capacitación,17
698,Guanajuato,30.0,Diseño de programas de capacitación,17
838,Hidalgo,30.0,Diseño de programas de capacitación,17
1564,Puebla,30.0,Diseño de programas de capacitación,17
907,Ciudad de México,30.0,Diseño de programas de capacitación,17
459,Colima,30.0,Diseño de materiales de capacitación,18
2078,Ciudad de México,30.0,Diseño de materiales de capacitación,18
747,México,30.0,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana",19
1675,Ciudad de México,30.0,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana",19
1744,Veracruz,30.0,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana",19
1806,Ciudad de México,30.0,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana",19
